TimeSeries ID,63749c64-a5f4-477d-9271-2114aca709f5-0-0
project_id,my-microservice-test-project
Mon Dec 16 2024 15:07:00 GMT+0100 (Central European Standard Time),113
Mon Dec 16 2024 15:09:00 GMT+0100 (Central European Standard Time),276.85296452274383
Mon Dec 16 2024 15:10:00 GMT+0100 (Central European Standard Time),393.2886746838594
Mon Dec 16 2024 15:11:00 GMT+0100 (Central European Standard Time),261.30952952962963
Mon Dec 16 2024 15:12:00 GMT+0100 (Central European Standard Time),59.99296502168035
Mon Dec 16 2024 15:13:00 GMT+0100 (Central European Standard Time),64.80354512524657
Mon Dec 16 2024 15:14:00 GMT+0100 (Central European Standard Time),63.190471039335954
Mon Dec 16 2024 15:15:00 GMT+0100 (Central European Standard Time),50.75226409421904
Mon Dec 16 2024 15:16:00 GMT+0100 (Central European Standard Time),53.09795138001145
Mon Dec 16 2024 15:17:00 GMT+0100 (Central European Standard Time),67.90113784344864
Mon Dec 16 2024 15:18:00 GMT+0100 (Central European Standard Time),56.06923930425351
Mon Dec 16 2024 15:19:00 GMT+0100 (Central European Standard Time),45.26027187270898
Mon Dec 16 2024 15:20:00 GMT+0100 (Central European Standard Time),83.29244775494519
Mon Dec 16 2024 15:21:00 GMT+0100 (Central European Standard Time),59.51059872813264
Mon Dec 16 2024 15:22:00 GMT+0100 (Central European Standard Time),54.286939697675734
Mon Dec 16 2024 15:23:00 GMT+0100 (Central European Standard Time),63.372249018649185
Mon Dec 16 2024 15:24:00 GMT+0100 (Central European Standard Time),63.68027794531774
Mon Dec 16 2024 15:25:00 GMT+0100 (Central European Standard Time),51.42301471380989
Mon Dec 16 2024 15:26:00 GMT+0100 (Central European Standard Time),58.89283274852846
Mon Dec 16 2024 15:27:00 GMT+0100 (Central European Standard Time),66.62722351261664
Mon Dec 16 2024 15:28:00 GMT+0100 (Central European Standard Time),52.082554451243475
Mon Dec 16 2024 15:29:00 GMT+0100 (Central European Standard Time),48.22019163033418
