TimeSeries ID,RPS
Mon Dec 16 2024 15:07:00 GMT+0100 (Central European Standard Time),0.016666666666666666
Mon Dec 16 2024 15:08:00 GMT+0100 (Central European Standard Time),0
Mon Dec 16 2024 15:09:00 GMT+0100 (Central European Standard Time),12.383333333333333
Mon Dec 16 2024 15:10:00 GMT+0100 (Central European Standard Time),28
Mon Dec 16 2024 15:11:00 GMT+0100 (Central European Standard Time),30.583333333333332
Mon Dec 16 2024 15:12:00 GMT+0100 (Central European Standard Time),21.7
Mon Dec 16 2024 15:13:00 GMT+0100 (Central European Standard Time),40.06666666666667
Mon Dec 16 2024 15:14:00 GMT+0100 (Central European Standard Time),59.86666666666667
Mon Dec 16 2024 15:15:00 GMT+0100 (Central European Standard Time),28.38333333333333
Mon Dec 16 2024 15:16:00 GMT+0100 (Central European Standard Time),27.116666666666667
Mon Dec 16 2024 15:17:00 GMT+0100 (Central European Standard Time),54.43333333333334
Mon Dec 16 2024 15:18:00 GMT+0100 (Central European Standard Time),35.46666666666666
Mon Dec 16 2024 15:19:00 GMT+0100 (Central European Standard Time),21.31666666666667
Mon Dec 16 2024 15:20:00 GMT+0100 (Central European Standard Time),47.39999999999999
Mon Dec 16 2024 15:21:00 GMT+0100 (Central European Standard Time),47.216666666666676
Mon Dec 16 2024 15:22:00 GMT+0100 (Central European Standard Time),22.883333333333333
Mon Dec 16 2024 15:23:00 GMT+0100 (Central European Standard Time),46.28333333333333
Mon Dec 16 2024 15:24:00 GMT+0100 (Central European Standard Time),56.23333333333334
Mon Dec 16 2024 15:25:00 GMT+0100 (Central European Standard Time),25.5
Mon Dec 16 2024 15:26:00 GMT+0100 (Central European Standard Time),30.35
