TimeSeries ID,0945a11e-d609-417b-bdf8-a3a16d608f33-0-0
project_id,my-microservice-test-project
Mon Dec 16 2024 15:07:00 GMT+0100 (Central European Standard Time),13.043
Mon Dec 16 2024 15:08:00 GMT+0100 (Central European Standard Time),13.043
Mon Dec 16 2024 15:09:00 GMT+0100 (Central European Standard Time),13.043
Mon Dec 16 2024 15:10:00 GMT+0100 (Central European Standard Time),17.043
Mon Dec 16 2024 15:11:00 GMT+0100 (Central European Standard Time),21.043
Mon Dec 16 2024 15:12:00 GMT+0100 (Central European Standard Time),21.043
Mon Dec 16 2024 15:13:00 GMT+0100 (Central European Standard Time),18.043
Mon Dec 16 2024 15:14:00 GMT+0100 (Central European Standard Time),28.043
Mon Dec 16 2024 15:15:00 GMT+0100 (Central European Standard Time),28.043
Mon Dec 16 2024 15:16:00 GMT+0100 (Central European Standard Time),21.043
Mon Dec 16 2024 15:17:00 GMT+0100 (Central European Standard Time),20.043
Mon Dec 16 2024 15:18:00 GMT+0100 (Central European Standard Time),27.043
Mon Dec 16 2024 15:19:00 GMT+0100 (Central European Standard Time),24.043
Mon Dec 16 2024 15:20:00 GMT+0100 (Central European Standard Time),17.043
Mon Dec 16 2024 15:21:00 GMT+0100 (Central European Standard Time),28.043
Mon Dec 16 2024 15:22:00 GMT+0100 (Central European Standard Time),28.043
Mon Dec 16 2024 15:23:00 GMT+0100 (Central European Standard Time),19.043
Mon Dec 16 2024 15:24:00 GMT+0100 (Central European Standard Time),27.043
Mon Dec 16 2024 15:25:00 GMT+0100 (Central European Standard Time),29.043
Mon Dec 16 2024 15:26:00 GMT+0100 (Central European Standard Time),22.043
Mon Dec 16 2024 15:27:00 GMT+0100 (Central European Standard Time),23.043
Mon Dec 16 2024 15:28:00 GMT+0100 (Central European Standard Time),28.043
Mon Dec 16 2024 15:29:00 GMT+0100 (Central European Standard Time),25.043
