TimeSeries ID,Service_Time
Mon Dec 16 2024 14:41:00 GMT+0100 (Central European Standard Time),244.52369077306733
Mon Dec 16 2024 14:42:00 GMT+0100 (Central European Standard Time),254.88284957004353
Mon Dec 16 2024 14:43:00 GMT+0100 (Central European Standard Time),355.0909658215252
Mon Dec 16 2024 14:44:00 GMT+0100 (Central European Standard Time),96.8617449790422
Mon Dec 16 2024 14:45:00 GMT+0100 (Central European Standard Time),57.363387983179805
Mon Dec 16 2024 14:46:00 GMT+0100 (Central European Standard Time),59.49132317092363
Mon Dec 16 2024 14:47:00 GMT+0100 (Central European Standard Time),54.9532723530886
Mon Dec 16 2024 14:48:00 GMT+0100 (Central European Standard Time),50.34945635023066
Mon Dec 16 2024 14:49:00 GMT+0100 (Central European Standard Time),59.9346450569209
Mon Dec 16 2024 14:50:00 GMT+0100 (Central European Standard Time),59.516139467737275
Mon Dec 16 2024 14:51:00 GMT+0100 (Central European Standard Time),54.9358606959498
Mon Dec 16 2024 14:52:00 GMT+0100 (Central European Standard Time),54.32929575039552
Mon Dec 16 2024 14:53:00 GMT+0100 (Central European Standard Time),56.47398584963518
Mon Dec 16 2024 14:54:00 GMT+0100 (Central European Standard Time),50.61912798310758
Mon Dec 16 2024 14:55:00 GMT+0100 (Central European Standard Time),52.434720758188526
Mon Dec 16 2024 14:56:00 GMT+0100 (Central European Standard Time),61.96099979126737
Mon Dec 16 2024 14:57:00 GMT+0100 (Central European Standard Time),51.75600822292505
Mon Dec 16 2024 14:58:00 GMT+0100 (Central European Standard Time),53.61805726368045
Mon Dec 16 2024 14:59:00 GMT+0100 (Central European Standard Time),63.208161048374826
Mon Dec 16 2024 15:00:00 GMT+0100 (Central European Standard Time),55.95807024763788
