TimeSeries ID,Replicas
Mon Dec 16 2024 14:40:00 GMT+0100 (Central European Standard Time),13.043
Mon Dec 16 2024 14:41:00 GMT+0100 (Central European Standard Time),13.043
Mon Dec 16 2024 14:42:00 GMT+0100 (Central European Standard Time),17.043
Mon Dec 16 2024 14:43:00 GMT+0100 (Central European Standard Time),21.043
Mon Dec 16 2024 14:44:00 GMT+0100 (Central European Standard Time),21.043
Mon Dec 16 2024 14:45:00 GMT+0100 (Central European Standard Time),20.043
Mon Dec 16 2024 14:46:00 GMT+0100 (Central European Standard Time),24.043
Mon Dec 16 2024 14:47:00 GMT+0100 (Central European Standard Time),29.043
Mon Dec 16 2024 14:48:00 GMT+0100 (Central European Standard Time),29.043
Mon Dec 16 2024 14:49:00 GMT+0100 (Central European Standard Time),21.043
Mon Dec 16 2024 14:50:00 GMT+0100 (Central European Standard Time),30.043
Mon Dec 16 2024 14:51:00 GMT+0100 (Central European Standard Time),30.043
Mon Dec 16 2024 14:52:00 GMT+0100 (Central European Standard Time),27.043
Mon Dec 16 2024 14:53:00 GMT+0100 (Central European Standard Time),25.043
Mon Dec 16 2024 14:54:00 GMT+0100 (Central European Standard Time),27.043
Mon Dec 16 2024 14:55:00 GMT+0100 (Central European Standard Time),27.043
Mon Dec 16 2024 14:56:00 GMT+0100 (Central European Standard Time),21.043
Mon Dec 16 2024 14:57:00 GMT+0100 (Central European Standard Time),29.043
Mon Dec 16 2024 14:58:00 GMT+0100 (Central European Standard Time),29.043
Mon Dec 16 2024 14:59:00 GMT+0100 (Central European Standard Time),23.043
