TimeSeries ID,ef887a0e-ba21-47ac-873b-848b33948883-0-0
project_id,my-microservice-test-project
Mon Dec 16 2024 14:40:00 GMT+0100 (Central European Standard Time),0
Mon Dec 16 2024 14:41:00 GMT+0100 (Central European Standard Time),6.683333333333334
Mon Dec 16 2024 14:42:00 GMT+0100 (Central European Standard Time),27.899999999999995
Mon Dec 16 2024 14:43:00 GMT+0100 (Central European Standard Time),31
Mon Dec 16 2024 14:44:00 GMT+0100 (Central European Standard Time),22.45
Mon Dec 16 2024 14:45:00 GMT+0100 (Central European Standard Time),36.516666666666666
Mon Dec 16 2024 14:46:00 GMT+0100 (Central European Standard Time),60.68333333333333
Mon Dec 16 2024 14:47:00 GMT+0100 (Central European Standard Time),34.85
Mon Dec 16 2024 14:48:00 GMT+0100 (Central European Standard Time),26.133333333333336
Mon Dec 16 2024 14:49:00 GMT+0100 (Central European Standard Time),49.99999999999999
Mon Dec 16 2024 14:50:00 GMT+0100 (Central European Standard Time),46.75
Mon Dec 16 2024 14:51:00 GMT+0100 (Central European Standard Time),22.183333333333334
Mon Dec 16 2024 14:52:00 GMT+0100 (Central European Standard Time),48.583333333333336
Mon Dec 16 2024 14:53:00 GMT+0100 (Central European Standard Time),48.983333333333334
Mon Dec 16 2024 14:54:00 GMT+0100 (Central European Standard Time),19.916666666666668
Mon Dec 16 2024 14:55:00 GMT+0100 (Central European Standard Time),36.03333333333333
Mon Dec 16 2024 14:56:00 GMT+0100 (Central European Standard Time),59.983333333333334
Mon Dec 16 2024 14:57:00 GMT+0100 (Central European Standard Time),31.85
Mon Dec 16 2024 14:58:00 GMT+0100 (Central European Standard Time),28.6
Mon Dec 16 2024 14:59:00 GMT+0100 (Central European Standard Time),43.1
Mon Dec 16 2024 15:00:00 GMT+0100 (Central European Standard Time),39.03333333333333
Mon Dec 16 2024 15:01:00 GMT+0100 (Central European Standard Time),8.35
