TimeSeries ID,Request_Cores
Mon Dec 16 2024 15:31:00 GMT+0100 (Central European Standard Time),1
Mon Dec 16 2024 15:32:00 GMT+0100 (Central European Standard Time),1
Mon Dec 16 2024 15:33:00 GMT+0100 (Central European Standard Time),1
Mon Dec 16 2024 15:34:00 GMT+0100 (Central European Standard Time),5
Mon Dec 16 2024 15:35:00 GMT+0100 (Central European Standard Time),12
Mon Dec 16 2024 15:36:00 GMT+0100 (Central European Standard Time),9
Mon Dec 16 2024 15:37:00 GMT+0100 (Central European Standard Time),5
Mon Dec 16 2024 15:38:00 GMT+0100 (Central European Standard Time),15
Mon Dec 16 2024 15:39:00 GMT+0100 (Central European Standard Time),15
Mon Dec 16 2024 15:40:00 GMT+0100 (Central European Standard Time),4
Mon Dec 16 2024 15:41:00 GMT+0100 (Central European Standard Time),7
Mon Dec 16 2024 15:42:00 GMT+0100 (Central European Standard Time),11
Mon Dec 16 2024 15:43:00 GMT+0100 (Central European Standard Time),8
Mon Dec 16 2024 15:44:00 GMT+0100 (Central European Standard Time),7
Mon Dec 16 2024 15:45:00 GMT+0100 (Central European Standard Time),16
Mon Dec 16 2024 15:46:00 GMT+0100 (Central European Standard Time),10
Mon Dec 16 2024 15:47:00 GMT+0100 (Central European Standard Time),4
Mon Dec 16 2024 15:48:00 GMT+0100 (Central European Standard Time),12
Mon Dec 16 2024 15:49:00 GMT+0100 (Central European Standard Time),12
Mon Dec 16 2024 15:50:00 GMT+0100 (Central European Standard Time),5
