TimeSeries ID,05d10d54-8e9a-419f-96cd-ff17e05f962b-0-0
project_id,my-microservice-test-project
Mon Dec 16 2024 15:31:00 GMT+0100 (Central European Standard Time),0.003396551639120086
Mon Dec 16 2024 15:32:00 GMT+0100 (Central European Standard Time),0.058978987770415374
Mon Dec 16 2024 15:33:00 GMT+0100 (Central European Standard Time),0.23016735184932874
Mon Dec 16 2024 15:34:00 GMT+0100 (Central European Standard Time),0.23190902291355686
Mon Dec 16 2024 15:35:00 GMT+0100 (Central European Standard Time),0.17517050523970265
Mon Dec 16 2024 15:36:00 GMT+0100 (Central European Standard Time),0.13675261693025276
Mon Dec 16 2024 15:37:00 GMT+0100 (Central European Standard Time),0.20941306235581045
Mon Dec 16 2024 15:38:00 GMT+0100 (Central European Standard Time),0.24161484854622686
Mon Dec 16 2024 15:39:00 GMT+0100 (Central European Standard Time),0.06250195711664029
Mon Dec 16 2024 15:40:00 GMT+0100 (Central European Standard Time),0.16483057997221837
Mon Dec 16 2024 15:41:00 GMT+0100 (Central European Standard Time),0.26179692428707946
Mon Dec 16 2024 15:42:00 GMT+0100 (Central European Standard Time),0.1389458077533037
Mon Dec 16 2024 15:43:00 GMT+0100 (Central European Standard Time),0.13872032229789724
Mon Dec 16 2024 15:44:00 GMT+0100 (Central European Standard Time),0.218150154468937
Mon Dec 16 2024 15:45:00 GMT+0100 (Central European Standard Time),0.14080150262853486
Mon Dec 16 2024 15:46:00 GMT+0100 (Central European Standard Time),0.07544821976400758
Mon Dec 16 2024 15:47:00 GMT+0100 (Central European Standard Time),0.32259284892629403
Mon Dec 16 2024 15:48:00 GMT+0100 (Central European Standard Time),0.23279306018453705
Mon Dec 16 2024 15:49:00 GMT+0100 (Central European Standard Time),0.08552926969706776
Mon Dec 16 2024 15:50:00 GMT+0100 (Central European Standard Time),0.28055222351425363
Mon Dec 16 2024 15:51:00 GMT+0100 (Central European Standard Time),0.2337464750032148
Mon Dec 16 2024 15:52:00 GMT+0100 (Central European Standard Time),0.08956375116747191
