TimeSeries ID,Request_Cores
Mon Dec 16 2024 15:57:00 GMT+0100 (Central European Standard Time),1
Mon Dec 16 2024 15:58:00 GMT+0100 (Central European Standard Time),1
Mon Dec 16 2024 15:59:00 GMT+0100 (Central European Standard Time),1
Mon Dec 16 2024 16:00:00 GMT+0100 (Central European Standard Time),1
Mon Dec 16 2024 16:01:00 GMT+0100 (Central European Standard Time),5
Mon Dec 16 2024 16:02:00 GMT+0100 (Central European Standard Time),8
Mon Dec 16 2024 16:03:00 GMT+0100 (Central European Standard Time),7
Mon Dec 16 2024 16:04:00 GMT+0100 (Central European Standard Time),8
Mon Dec 16 2024 16:05:00 GMT+0100 (Central European Standard Time),17
Mon Dec 16 2024 16:06:00 GMT+0100 (Central European Standard Time),12
Mon Dec 16 2024 16:07:00 GMT+0100 (Central European Standard Time),4
Mon Dec 16 2024 16:08:00 GMT+0100 (Central European Standard Time),10
Mon Dec 16 2024 16:09:00 GMT+0100 (Central European Standard Time),14
Mon Dec 16 2024 16:10:00 GMT+0100 (Central European Standard Time),9
Mon Dec 16 2024 16:11:00 GMT+0100 (Central European Standard Time),8
Mon Dec 16 2024 16:12:00 GMT+0100 (Central European Standard Time),13
Mon Dec 16 2024 16:13:00 GMT+0100 (Central European Standard Time),8
Mon Dec 16 2024 16:14:00 GMT+0100 (Central European Standard Time),6
Mon Dec 16 2024 16:15:00 GMT+0100 (Central European Standard Time),17
Mon Dec 16 2024 16:16:00 GMT+0100 (Central European Standard Time),10
