TimeSeries ID,c398f85d-38b0-4c9c-96ec-b76190d1645b-0-0
project_id,my-microservice-test-project
Mon Dec 16 2024 15:57:00 GMT+0100 (Central European Standard Time),0.68
Mon Dec 16 2024 15:58:00 GMT+0100 (Central European Standard Time),0.68
Mon Dec 16 2024 15:59:00 GMT+0100 (Central European Standard Time),0.68
Mon Dec 16 2024 16:00:00 GMT+0100 (Central European Standard Time),0.68
Mon Dec 16 2024 16:01:00 GMT+0100 (Central European Standard Time),0.68
Mon Dec 16 2024 16:02:00 GMT+0100 (Central European Standard Time),0.68
Mon Dec 16 2024 16:03:00 GMT+0100 (Central European Standard Time),0.68
Mon Dec 16 2024 16:04:00 GMT+0100 (Central European Standard Time),0.68
Mon Dec 16 2024 16:05:00 GMT+0100 (Central European Standard Time),0.68
Mon Dec 16 2024 16:06:00 GMT+0100 (Central European Standard Time),0.68
Mon Dec 16 2024 16:07:00 GMT+0100 (Central European Standard Time),0.68
Mon Dec 16 2024 16:08:00 GMT+0100 (Central European Standard Time),0.675
Mon Dec 16 2024 16:09:00 GMT+0100 (Central European Standard Time),0.68
Mon Dec 16 2024 16:10:00 GMT+0100 (Central European Standard Time),0.69
Mon Dec 16 2024 16:11:00 GMT+0100 (Central European Standard Time),0.685
Mon Dec 16 2024 16:12:00 GMT+0100 (Central European Standard Time),0.69
Mon Dec 16 2024 16:13:00 GMT+0100 (Central European Standard Time),0.695
Mon Dec 16 2024 16:14:00 GMT+0100 (Central European Standard Time),0.695
Mon Dec 16 2024 16:15:00 GMT+0100 (Central European Standard Time),0.69
Mon Dec 16 2024 16:16:00 GMT+0100 (Central European Standard Time),0.705
Mon Dec 16 2024 16:17:00 GMT+0100 (Central European Standard Time),0.7
Mon Dec 16 2024 16:18:00 GMT+0100 (Central European Standard Time),0.7
Mon Dec 16 2024 16:19:00 GMT+0100 (Central European Standard Time),0.705
